Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label,Label bin
2.63,12.63,2.202903439,0.572045118,-2.120959682,0.582312131,1.29740519,6296966940,1,0
3.63,13.63,1.945881145,0.631344825,-2.084337349,0.68434056,1.4,6272425910,1,0
4.63,14.63,2.189128627,0.61814133,-1.875798559,0.620973438,1.4,6638143351,1,0
5.63,15.63,2.257917842,0.575311908,-2.427636222,0.575989636,1.4,6537388223,1,0
6.63,16.63,2.632388141,0.494919872,-2.696282313,0.435231964,1.397205589,5873614977,1,0
7.63,17.63,2.034404081,0.569360015,-2.136116436,0.536549231,1.397205589,5870615843,1,0
8.63,18.63,2.62687213,0.409030684,-2.435086259,0.604365386,1.397205589,5822088990,1,0
9.63,19.63,2.468042163,0.579656217,-2.569723034,0.525694495,1.29740519,5106762732,1,0
10.63,20.63,2.235601655,0.671582359,-1.839271826,0.602641757,1.29740519,5180578008,1,0
11.63,21.63,2.432792189,0.591102466,-2.439384273,0.593692936,1.29740519,4767978015,1,0
12.63,22.63,2.215412143,0.606847856,-1.950346627,0.567367409,1.29740519,4954626812,1,0
13.63,23.63,2.52882778,0.465769559,-2.579085734,0.55862902,1.29740519,5254645613,1,0
14.63,24.63,2.463199611,0.515750652,-2.439274151,0.589696009,1.29740519,4949032866,1,0
15.63,25.63,2.191860904,0.629025966,-2.11679712,0.578700269,1.29740519,4900303217,1,0
16.63,26.63,2.032415064,0.711075863,-1.743950176,0.560453345,1.29740519,5144246328,1,0
17.63,27.63,2.357996579,0.563700093,-2.291723448,0.593868887,1.29740519,5101685195,1,0
18.63,28.63,2.311565614,0.629647441,-2.481953402,0.519578454,1.29740519,5114202171,1,0
19.63,29.63,2.225316345,0.557041409,-1.955855394,0.576234589,1.29740519,5187657278,1,0
20.63,30.63,2.503231378,0.540942292,-2.367668002,0.596424114,1.29740519,5141874771,1,0
21.63,31.63,2.296172642,0.549311075,-2.414372327,0.554772035,1.29740519,5222576064,1,0
22.63,32.63,2.305399625,0.532389659,-2.409372849,0.607008149,1.3,5231871595,1,0
23.63,33.63,2.455471752,0.512713287,-2.598239359,0.555247265,1.3,4722604336,1,0
24.63,34.63,1.963173861,0.597076779,-2.004455946,0.597685171,1.3,4790374076,1,0
25.63,35.63,1.957388935,0.567667999,-2.222262771,0.636991037,1.4,4715133046,1,0
26.63,36.63,2.142214473,0.635042775,-2.194156552,0.563778474,1.4,4528514228,1,0
27.63,37.63,2.186093538,0.622812029,-2.050373304,0.658311681,1.4,4624222547,1,0
28.63,38.63,2.04069046,0.60836827,-2.112398421,0.588588114,1.4,4500618428,1,0
29.63,39.63,2.647103439,0.481107053,-2.702967075,0.517653078,1.4,4396957374,1,0
30.63,40.63,1.896258367,0.667358035,-2.0934819,0.650228131,1.4,4465774346,1,0
31.63,41.63,2.19156769,0.64000456,-2.186270882,0.631665569,1.4,4408570100,1,0
32.63,42.63,2.600525864,0.49190242,-2.549517578,0.557455294,1.29740519,4247148653,1,0
33.63,43.63,2.17345942,0.702375056,-1.97475682,0.614261634,1.29740519,4399478190,1,0
