Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label,Label bin
642.753196,652.753196,2.071749961326541,0.5042777954338693,-2.03854242862528,0.551922944775162,1.197927842963469,3357520530.000001,6,1
643.753196,653.753196,2.3425436334008807,0.5336165046331509,-2.4177867946544334,0.5608618504953311,1.2021386975451422,3065388776.0,6,1
644.753196,654.753196,2.261165152162068,0.5930863304872376,-2.3085687295555246,0.6768836535911898,1.2020263272228209,3013345537.9999995,6,1
645.753196,655.753196,1.919256621508104,0.6308412419284987,-2.032349473769913,0.6099591154013462,1.2997327424156138,3060855920.000001,6,1
646.753196,656.753196,2.1712947363184893,0.5921174736895657,-2.1076671069311645,0.60195755925697,1.3024179689464708,2915355857.9999995,6,1
647.753196,657.753196,2.1401386257170656,0.6393312286419014,-2.2142033109172905,0.6343336748820996,1.299177889589731,2874629440.0,6,1
648.753196,658.753196,2.341157094505154,0.5439114869520639,-2.3740362682965888,0.5579558578615086,1.3000257765030412,2884868512.0000005,6,1
649.753196,659.753196,2.396051526410289,0.5486264814509078,-2.4063876256864862,0.6385061813332161,1.300144895065553,2913701497.000001,6,1
650.753196,660.753196,2.18362156543513,0.618560850228237,-2.320200226612719,0.526161780886415,1.299382415879259,2912590621.0,6,1
651.753196,661.753196,2.0427991440386823,0.6664434925598866,-1.9913489484314637,0.5657419278019541,1.300236730002296,2984372037.0,6,1
652.753196,662.753196,2.491834575470772,0.487154863476125,-2.540237753172402,0.6063091610504686,1.3002333680519575,2806938206.0000005,6,1
653.753196,663.753196,2.101553194175339,0.7051424229727692,-2.040837952622758,0.5969049090294156,1.400531982539827,2869819382.0000014,6,1
654.753196,664.753196,2.1838755903545186,0.6366493957011442,-2.1144502237240275,0.6591275525333168,1.3986935669515972,2784325142.9999995,6,1
655.753196,665.753196,2.2771872082822617,0.5686316155068136,-2.223468141311882,0.5997993994622832,1.3992299325141817,2570669475.0000005,6,1
656.753196,666.753196,2.4678218567919106,0.6011156776912864,-1.9968366546029213,0.667893132492743,1.4002135432215823,2605650496.0000005,6,1
657.753196,667.753196,2.277372596094271,0.5274743488014337,-2.2761980026385467,0.5950523060628166,1.3996776969474791,2514906169.0000014,6,1
658.753196,668.753196,2.2751660206567514,0.6484664085856836,-2.3944084177084246,0.5924635003405985,1.4009339156880387,2347384890.000001,6,1
659.753196,669.753196,2.165198191528636,0.6795610851982051,-2.20882450581998,0.6448695553059847,1.3996248092663497,2275661400.0000005,6,1
660.753196,670.753196,2.1441598839887543,0.69746683475044,-1.8444094025194764,0.6797624870727507,1.399007250352717,2313229273.0,6,1
661.753196,671.753196,2.3593668690699454,0.536044857320524,-2.487579317671809,0.5732871983037443,1.3986529766582572,2144061103.0,6,1
662.753196,672.753196,2.370445544074636,0.5950322381705986,-1.9146804205562509,0.6062522115989731,1.4027286635493212,2219162030.0000005,6,1
663.753196,673.753196,2.6974948068916818,0.4099000169173128,-2.44087726638888,0.6408624276457667,1.5004796772902742,2139407696.0000005,6,1
664.753196,674.753196,2.24207146450096,0.6264371407017503,-2.287280889397121,0.5343259659711574,1.501443229712986,2253807131.0,6,1
665.753196,675.753196,2.195567311827393,0.6265402215570043,-2.353604761420524,0.6150342769055427,1.4990492294410032,2354356219.0000005,6,1
666.753196,676.753196,2.349161391348313,0.5466078966208211,-2.3028774467225954,0.5967240125334601,1.4998099561591307,2271292033.0000005,6,1
667.753196,677.753196,2.0959121287784552,0.697879729723956,-1.815061034748267,0.6282097536122441,1.6000245808113709,2350173183.000001,6,1
668.753196,678.753196,2.358236259046179,0.5566709933379108,-2.300993525945348,0.6583272475340827,1.5998236531734662,2310105075.0000014,6,1
669.753196,679.753196,2.134334938655336,0.6068537997469383,-1.946558556335671,0.6091667983039747,1.598279683606967,2469384594.000001,6,1
670.753196,680.753196,2.482829518271769,0.5390506921745769,-2.426811675201812,0.5273894248713119,1.5990358031485925,2375083977.000001,6,1
671.753196,681.753196,1.975819831290418,0.5492464314737651,-1.942421642682277,0.5443577415057432,1.5013242876452906,2527868540.0000014,6,1
672.753196,682.753196,2.486532531872593,0.4845868691190519,-2.5084996294427446,0.5486265878052226,1.498868788044725,2495300485.0,6,1
673.753196,683.753196,2.1649311893258147,0.6514363641253955,-1.8440384768190623,0.5757916246955105,1.5003668125706064,2717034026.0,6,1
674.753196,684.753196,2.3200360542695253,0.547874069187526,-2.406217532035668,0.5591499991666883,1.5017944740121167,2655691715.0000014,6,1
675.753196,685.753196,2.6445170723926115,0.4291508769878294,-2.628432899787434,0.5313376616696324,1.499576228249476,2644625633.0000014,6,1
676.753196,686.753196,2.125445500151943,0.5802069485843795,-2.325007112474243,0.6048818958773671,1.5008922253349664,2691610165.000001,6,1
677.753196,687.753196,2.552328874447661,0.5235099696468491,-2.571531194762456,0.5022498952341374,1.4977592680739749,2783388297.000001,6,1
678.753196,688.753196,2.198153663494077,0.617201693430345,-1.9797960276992328,0.6111191200661166,1.6002158728486553,2959213278.0000014,6,1
679.753196,689.753196,2.532799864406533,0.5210792814210294,-2.4760717232432925,0.5758222493763181,1.600763753412652,2863415401.000001,6,1
680.753196,690.753196,2.0680471899119808,0.6925449192576392,-2.1423495612300782,0.5964501117422131,1.599656203944431,2999897201.0000005,6,1
681.753196,691.753196,2.368306165778832,0.551553104338404,-2.240118162399576,0.5846997497868262,1.6046022676628968,2900406496.000001,6,1
682.753196,692.753196,2.203354048861052,0.6352262230449522,-2.081973900454127,0.6427720565781976,1.598011276567525,3115563175.0000005,6,1
683.753196,693.753196,2.625339108481242,0.4844147429071577,-2.6925758686618124,0.4666914421435825,1.6010272636189036,2986351148.0000005,6,1
684.753196,694.753196,2.138120242342516,0.637466031432132,-2.039743747281334,0.6721751849266591,1.6015042035936853,3290779066.0000005,6,1
685.753196,695.753196,2.0922675373054505,0.5774782765081776,-2.372716354889162,0.5362487050864809,1.5994537026052895,3408043557.0000014,6,1
686.753196,696.753196,2.2750368389962943,0.664388478354322,-2.374689053155813,0.5557842724860012,1.6010289491564382,3656569708.000001,6,1
687.753196,697.753196,2.2354783922671237,0.6263317772911539,-1.9748771904775435,0.6486064024797881,1.3004286766775632,3830856498.000001,6,1
688.753196,698.753196,2.437694542430212,0.6066576569239905,-2.3047430058749723,0.6200833211407978,1.299897273816878,3869784482.000001,6,1
689.753196,699.753196,2.263695118910497,0.5705422403148921,-2.343862787535631,0.5533699371171799,1.3005738342251072,3995181413.000002,6,1
690.753196,700.753196,2.2196269890650284,0.5332256273631338,-2.2982434636278013,0.659299122151597,1.299973247516401,4160871323.000001,6,1
691.753196,701.753196,2.529023951196471,0.5390998879703353,-2.5224510671044094,0.6099775644530326,1.2981611378383402,4250377786.000001,6,1
692.753196,702.753196,2.055103052087957,0.7565280561614971,-2.0243711874406563,0.6712707151773731,1.3018040911622066,4280190886.0000014,6,1
693.753196,703.753196,2.182357707895686,0.7232809518868216,-2.121715788603079,0.553344525541152,1.3996244867927476,4279900208.0000014,6,1
694.753196,704.753196,2.346582737069787,0.4541942048864804,-2.217226145528375,0.6062139628937905,1.4024806792679383,4118763758.0,6,1
695.753196,705.753196,2.1955216326677984,0.6689203802218157,-2.2829940867625527,0.6381352026912381,1.3998016873965295,4089218377.000001,6,1
696.753196,706.753196,1.9226021534748912,0.5628950231607841,-1.9030283002547657,0.6323267352149883,1.4001394420800402,3947665716.0000014,6,1
697.753196,707.753196,2.636007965898135,0.4815714159362321,-2.5739373334468034,0.5832389420167391,1.498217522297726,3715343098.000001,6,1
698.753196,708.753196,2.2398255125354587,0.6267029874215122,-2.0571197683690845,0.6339357890312497,1.500700598397945,3702553813.000001,6,1
699.753196,709.753196,2.1791881997956355,0.6228777235702454,-2.2133116748461616,0.6211415917152248,1.5025702859077343,3554305263.999999,6,1
700.753196,710.753196,2.36851206924486,0.5267366748079897,-2.404159849903321,0.6092377641123082,1.501417162937963,3408018547.000001,6,1
701.753196,711.753196,2.246823373999311,0.6546206894325847,-2.1294352871225377,0.6173022039024413,1.501028811429331,3318645727.9999995,6,1
702.753196,712.753196,2.5824356781576983,0.5381975193492574,-2.5470638949080207,0.5005038721961634,1.5047179588108683,3128202764.0,6,1
703.753196,713.753196,2.082246373191169,0.6338997114632358,-2.0393931688639446,0.6245741853524195,1.5996330798580756,3116404717.000001,6,1
704.753196,714.753196,2.6871793991321136,0.3982118819253853,-2.722463543542025,0.4489119303160223,1.6009012757216787,2979372207.000001,6,1
