Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label bin, Label
0.079678297,10.0796783,2.413151368,0.587534319,-2.456416946,0.583241086,0,1397795146,0,
1.079678297,11.0796783,2.254564941,0.574047324,-2.465364585,0.555039628,0,1424037672,0,
2.079678297,12.0796783,2.195048383,0.660442072,-2.409538131,0.409683199,1.50453183,1446376410,0,
3.079678297,13.0796783,2.156609457,0.599542167,-2.495362302,0.404627808,1.504455105,1387239531,0,
4.079678297,14.0796783,2.217477429,0.656379539,-2.278582966,0.76291447,1.504640354,1395572088,0,
5.079678297,15.0796783,2.462880857,0.590368592,-2.466109184,0.592317944,1.504588113,1270469027,0,
6.079678297,16.0796783,2.337936329,0.508969586,-2.538313441,0.547282398,1.504591473,1254070571,0,
7.079678297,17.0796783,2.447233856,0.554457292,-2.238959346,0.668588782,1.598516893,1092082830,0,
8.079678297,18.0796783,1.995249265,0.601197498,-2.205398604,0.551000154,1.598557685,1133765080,0,
9.079678297,19.0796783,2.457519267,0.510386693,-2.47956706,0.577115878,1.596937983,1260917066,0,
10.0796783,20.0796783,2.18846617,0.529318963,-2.002697106,0.611203587,1.498489928,1440200358,0,
11.0796783,21.0796783,2.266175668,0.534760485,-2.333635577,0.490977986,1.498529347,1550856752,0,
12.0796783,22.0796783,2.031284384,0.586577352,-1.958146194,0.639344822,1.498606471,1618630446,0,
13.0796783,23.0796783,2.300294948,0.420958333,-2.290945601,0.45511192,1.498409736,1611886308,0,
14.0796783,24.0796783,2.150837825,0.672252482,-2.199209311,0.604058552,1.498494299,1610492280,0,
15.0796783,25.0796783,2.39394801,0.594025497,-2.322653937,0.665478266,1.498440908,1693757486,0,
16.0796783,26.0796783,2.402358353,0.604048956,-2.350195644,0.639111855,1.498534615,1642466134,0,
17.0796783,27.0796783,2.271309756,0.622800503,-2.288400042,0.594523896,1.498573211,1682074150,0,
18.0796783,28.0796783,2.311327946,0.551978867,-2.236631986,0.651424829,1.497052817,1597966100,0,
19.0796783,29.0796783,2.113257724,0.561894857,-1.956478978,0.608210631,1.498459578,1405673544,0,
20.0796783,30.0796783,2.275277136,0.491055402,-2.212158276,0.560592594,1.49863292,1257289916,0,
21.0796783,31.0796783,2.300154968,0.655939969,-1.959641478,0.640415904,1.498455491,1228275264,0,
