Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label,Label bin
0.076048613,10.076048613,2.327721690591284,0.5444699549367468,-2.29802633516404,0.5893067344842158,1.2955572962453112,16556738815.999998,1,0
1.076048613,11.076048613,1.952988125433704,0.6160900073758803,-1.960260080484498,0.5765749289994606,1.300059474167797,17626099780.999996,1,0
2.076048613,12.076048613,2.2930865131719105,0.563666964226787,-2.4995956005380866,0.5744952496244379,1.2999806141088088,18808620867.0,1,0
3.076048613,13.076048613,2.318971502113473,0.5657551892263013,-2.325262876573828,0.6370128167930987,1.299925350247294,18869568911.0,1,0
4.076048613,14.076048613,2.022559220908435,0.5453788033700443,-2.1042915712380017,0.5626814350370465,1.299996733696352,19253528054.000004,1,0
5.076048613,15.076048613,2.4793482958257784,0.5692155535051692,-2.5888217391218844,0.4184109048156267,1.3999683320129588,19547564601.000004,1,0
6.076048613,16.076048613,2.4180788076508577,0.5695527337414209,-2.357521158636631,0.6574431482181534,1.3999141131009878,18725462978.000004,1,0
7.076048613,17.076048613,2.0614754445945325,0.5587865122465642,-2.0282572235829246,0.5592214479494334,1.3998448191374506,19397408865.0,1,0
8.076048613,18.076048613,2.180086373188519,0.6816568463664419,-2.197343606344479,0.5764936360184714,1.3998697489340666,18870023624.0,1,0
9.076048613,19.076048613,2.1848234567562126,0.5821408115500458,-2.2777029445261223,0.5179767616559815,1.399904026939372,18693779225.0,1,0
10.076048613,20.076048613,2.163531474302228,0.6614657890158007,-1.9048990217304984,0.6106976551533561,1.3998914950537176,19187598197.0,1,0
11.076048613,21.076048613,2.582575485067499,0.5243264581516143,-2.366676715552773,0.603060463035287,1.400058787593454,18794688483.0,1,0
12.076048613,22.076048613,2.371658565487698,0.6497506185417606,-2.1083152894033974,0.5975819450499694,1.4054624487764364,18659488141.0,1,0
13.076048613,23.076048613,2.0563464662890847,0.6391677615702197,-2.18557687977832,0.6437956305286555,1.3998341320788767,18001487847.0,1,0
14.076048613,24.076048613,2.037342530218852,0.5899649795732036,-2.247274313605948,0.555610388985956,1.3999857929272383,18392140856.0,1,0
15.076048613,25.076048613,2.177644865312275,0.579140805153584,-2.07884987550664,0.5928761622690057,1.399971114226649,17881904453.0,1,0
16.076048613,26.076048613,2.381225354582984,0.5906971374244376,-2.23804084094845,0.6273266241614354,1.3998460927924194,18606966698.0,1,0
17.076048613,27.076048613,2.2732806162102355,0.6178946478760624,-2.3182116826059525,0.6220056738431892,1.3986299506970483,18229339142.000004,1,0
18.076048613,28.076048613,2.078169076466944,0.6780144624087304,-2.236674335299353,0.5624519616438909,1.3998997365278338,18204300659.0,1,0
19.076048613,29.076048613,2.1049340829657366,0.6551150277137482,-2.260027693805627,0.6475644734248099,1.3999361946903317,18080453708.000008,1,0
20.076048613,30.076048613,2.1085328774651697,0.6012388120846242,-2.2099778556933005,0.4818902350054622,1.3999679643129166,18053886932.000004,1,0
21.076048613,31.076048613,2.053534613931732,0.6127254602194956,-2.1182587163976394,0.5587405201313125,1.3999789560413245,18149124140.0,1,0
22.076048613,32.076048613,2.2227711173273628,0.6088817112867352,-2.223890128825064,0.5480127499477596,1.3999766775627258,17744044036.999996,1,0
23.076048613,33.076048613,2.198884804996081,0.6793145926161865,-2.1171766182539087,0.5830685365049896,1.4000087484288608,18263173760.0,1,0
24.076048613,34.076048613,2.5121980028001434,0.4137591374205194,-2.269620039330263,0.6605284530897501,1.3985921563144774,17902983647.0,1,0
25.076048613,35.076048613,2.0517301294968147,0.5963069873806531,-1.830381694190852,0.5307939489910094,1.3998629795149764,18221823657.0,1,0
26.076048613,36.076048613,2.3781394460784444,0.6850438055875836,-2.076996317695852,0.7426543709502071,1.399972353955619,17438252382.000004,1,0
27.076048613,37.076048613,2.3094319123880487,0.575829350090623,-2.1262799227509106,0.6602790370513548,1.4000043585579245,16964171419.999998,1,0
28.076048613,38.076048613,1.8122783508290703,0.5303544206630034,-1.6706387134219567,0.4739289953020248,1.3000525638825278,17235888437.0,1,0
29.076048613,39.076048613,2.27930711512561,0.585165486670716,-2.5383053394383306,0.5302051460270373,1.2999881768905932,16828944893.999998,1,0
30.076048613,40.076048613,2.3461998398437025,0.5960137086335654,-2.298105071191882,0.5922847409436116,1.2998624064875828,16685221043.000002,1,0
31.076048613,41.076048613,2.247410458589766,0.615575807656819,-2.3395392430430437,0.5607850063216945,1.3000961678671474,16578121473.000002,1,0
32.076048613,42.076048613,2.504407225440394,0.5240536837626487,-2.579230675932129,0.4330756322030892,1.2999904479742177,16572273785.0,1,0
33.076048613,43.076048613,2.1092888206609763,0.6205524444122668,-2.084264773023191,0.6108728465374962,1.2999278081317769,17306843660.000004,1,0
34.076048613,44.076048613,2.351461214769137,0.5907218268836694,-2.1312171972031564,0.5447241991386702,1.1987688514447967,17584677308.0,1,0
35.076048613,45.076048613,2.3873781872567053,0.4914754829615071,-2.4975258634755337,0.5128398423641504,1.1999495612378883,17101448735.0,1,0
36.076048613,46.076048613,2.385140158836124,0.5792032690678023,-2.4162093497868624,0.5906692485152043,1.1987848768164238,17752558187.0,1,0
37.076048613,47.076048613,1.9513043024765384,0.5094616039125843,-2.003457675470829,0.5434935372842069,1.1999656760221302,18569272098.0,1,0
38.076048613,48.076048613,2.47826957990726,0.5687259020839005,-2.466320537915917,0.5884360271798988,1.2000911261517122,18384614842.999992,1,0
39.076048613,49.076048613,2.419717640352246,0.6035751020007084,-2.1309427699895624,0.6508756672895567,1.1999728564930212,18291406921.999992,1,0
