Time (real),IR Value raw,IR Value filtered,Time (s),Label
2025-05-14 01:07:45,122849,-84,0.07782459259033203,0
2025-05-14 01:07:45,121958,-914,0.07810401916503906,0
2025-05-14 01:07:45,121989,-828,0.07828283309936523,0
2025-05-14 01:07:45,122288,-496,0.07842588424682617,0
2025-05-14 01:07:45,122478,-287,0.10999584197998047,0
2025-05-14 01:07:45,122637,-120,0.15007615089416504,0
2025-05-14 01:07:45,122795,36,0.18963909149169922,0
2025-05-14 01:07:45,122811,49,0.22983288764953613,0
2025-05-14 01:07:45,122824,58,0.26985669136047363,0
2025-05-14 01:07:45,122940,163,0.30935096740722656,0
2025-05-14 01:07:45,123105,308,0.3499791622161865,0
2025-05-14 01:07:45,123197,375,0.3897550106048584,0
2025-05-14 01:07:45,123271,421,0.4297752380371094,0
2025-05-14 01:07:45,123327,447,0.47042322158813477,0
2025-05-14 01:07:45,123359,449,0.5093584060668945,0
2025-05-14 01:07:45,123395,455,0.5501110553741455,0
2025-05-14 01:07:45,123399,430,0.5903937816619873,0
2025-05-14 01:07:45,123428,430,0.6295244693756104,0
2025-05-14 01:07:45,123458,432,0.6696982383728027,0
2025-05-14 01:07:45,122937,-84,0.7194066047668457,0
2025-05-14 01:07:45,122005,-952,0.7598297595977783,0
2025-05-14 01:07:45,122004,-894,0.7994606494903564,0
2025-05-14 01:07:46,122346,-517,0.839775562286377,0
2025-05-14 01:07:46,122563,-281,0.8704314231872559,0
2025-05-14 01:07:46,122683,-151,0.9197485446929932,0
2025-05-14 01:07:46,122811,-22,0.9504284858703613,0
2025-05-14 01:07:46,122814,-18,0.9998373985290527,0
2025-05-14 01:07:46,122812,-18,1.039708137512207,0
2025-05-14 01:07:46,122894,60,1.0703468322753906,0
2025-05-14 01:07:46,123004,159,1.1198322772979736,0
2025-05-14 01:07:46,123137,274,1.15936279296875,0
2025-05-14 01:07:46,123253,366,1.2002737522125244,0
2025-05-14 01:07:46,123287,375,1.306063175201416,0
2025-05-14 01:07:46,123320,382,1.3062329292297363,0
2025-05-14 01:07:46,123386,420,1.31941819190979,0
2025-05-14 01:07:46,123420,426,1.3603110313415527,0
2025-05-14 01:07:46,123442,420,1.3994956016540527,0
2025-05-14 01:07:46,123440,392,1.440049648284912,0
2025-05-14 01:07:46,122829,-205,1.4800786972045898,0
2025-05-14 01:07:46,121952,-1015,1.5200698375701904,0
2025-05-14 01:07:46,122026,-882,1.5596554279327393,0
2025-05-14 01:07:46,122311,-560,1.6000945568084717,0
2025-05-14 01:07:46,122462,-383,1.6432991027832031,0
2025-05-14 01:07:46,122606,-224,1.680098056793213,0
2025-05-14 01:07:46,122696,-126,1.7194724082946777,0
2025-05-14 01:07:46,122682,-131,1.7596831321716309,0
2025-05-14 01:07:46,122734,-74,1.7997462749481201,0
2025-05-14 01:07:47,122884,71,1.8396337032318115,0
2025-05-14 01:07:47,123037,210,1.8800554275512695,0
2025-05-14 01:07:47,123170,322,1.9207394123077393,0
2025-05-14 01:07:47,123261,387,1.9599204063415527,0
2025-05-14 01:07:47,123313,412,1.9994325637817383,0
2025-05-14 01:07:47,123362,432,2.0393624305725098,0
2025-05-14 01:07:47,123371,413,2.079630136489868,0
2025-05-14 01:07:47,123400,415,2.120283603668213,0
2025-05-14 01:07:47,123466,451,2.1610658168792725,0
2025-05-14 01:07:47,123469,425,2.200051784515381,0
2025-05-14 01:07:47,122772,-255,2.239736557006836,0
2025-05-14 01:07:47,121950,-1009,2.2797579765319824,0
2025-05-14 01:07:47,122081,-823,2.3194684982299805,0
