Time start,Time end,AMI,FNN,Lyapunov,ARE,DFA,Label,Label bin
0.078166723,59.89933228,0.248633072,33.73838456,0.196813904,420.9103814,0.192528646,1,0
0.930303574,60.86009884,0.257237623,32.95210865,0.195161303,421.4937872,0.182494562,1,0
1.900499344,61.83018112,0.267273875,33.09506791,0.196014572,424.2141733,0.185910094,1,0
2.891686678,62.79009271,0.266830596,33.52394568,0.197433475,424.3810666,0.186624892,1,0
3.832510233,63.75992298,0.262628407,33.66690493,0.195851387,415.0922573,0.200660691,1,0
4.789719105,64.72012901,0.265563205,33.95282345,0.196216561,415.9582198,0.192010103,1,0
5.749475241,65.67981911,0.262223512,34.45318084,0.195640389,412.1339585,0.185814441,1,0
6.72012496,66.64933324,0.27270108,34.66761973,0.197095797,410.6164878,0.18667913,1,0
7.680300713,67.61014533,0.276254676,34.88205861,0.194762786,406.3891158,0.188084482,1,0
8.649592876,68.56965804,0.283716982,35.89375449,0.203787438,399.3550934,0.201357232,1,0
9.609553576,69.54007602,0.284007821,7.717842324,0.193340962,387.0441519,0.196810914,1,0
10.56948948,70.4994204,0.282427441,7.55186722,0.19149226,381.0119958,0.186690995,1,0
11.53954577,71.46953082,0.291978101,7.468879668,0.193040445,388.5309828,0.191308602,1,0
12.500144,72.43021536,0.29662134,7.468879668,0.191085229,383.8153396,0.186705852,1,0
13.46956277,73.38974071,0.304930146,34.73909936,0.193483337,396.3949216,0.198124392,1,0
14.42933846,74.3595047,0.309473639,3.581526861,0.191106194,395.6893667,0.200581924,1,0
15.3897202,75.31940627,0.300390628,9.553641347,0.197954645,393.935437,0.194015738,1,0
16.35937715,76.28941298,0.297119636,5.640107431,0.194280279,407.6121329,0.191638764,1,0
17.32030559,77.24942183,0.285343775,34.16726233,0.194937471,411.198622,0.192201467,1,0
18.29030704,78.2103827,0.274267411,5.887850467,0.195795285,412.8184024,0.197684597,1,0
19.24969459,79.18025589,0.271352603,7.04467354,0.196804163,417.3375021,0.197723726,1,0
20.2195189,80.13967562,0.258550963,6.786941581,0.196694637,413.7738539,0.198465938,1,0
21.17974186,81.10944366,0.247474859,6.958762887,0.195708129,422.9314194,0.206764476,1,0
22.13935852,82.0701735,0.228896826,36.38313081,0.195480139,429.1654653,0.195116859,1,0
23.10971403,83.03933287,0.235042919,37.24088635,0.19371225,436.0040164,0.201399932,1,0
24.06968021,84.00005746,0.240385632,5.794392523,0.191536933,441.5562314,0.214305431,1,0
25.03934979,84.95940518,0.254027781,5.700934579,0.189420297,441.0278135,0.203484207,1,0
25.99981642,85.92970872,0.263985077,5.794392523,0.188548629,437.0901204,0.203984293,1,0
26.95981622,86.88931465,0.259839168,39.81415297,0.188343205,431.2877415,0.206612022,1,0
27.9297719,87.85940456,0.256383163,5.614714424,0.193493861,445.712754,0.208415658,1,0
28.88942003,88.81955838,0.25493321,7.466666667,0.194778897,454.5581158,0.223221004,1,0
