Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label,Label bin
76.63,136.63,80,0.754936709,0.046927723,533.2416139,0.638481013,1,0
77.63,137.63,79,0.756153846,0.046305307,533.5577532,0.638481013,1,0
78.63,138.63,79,0.756410256,0.046048312,530.856962,0.635696203,1,0
79.63,139.63,80,0.755949367,0.045826281,533.9625,0.638734177,1,0
80.63,140.63,79,0.757179487,0.044804345,535.2911392,0.63974359,1,0
81.63,141.63,80,0.756455696,0.044976449,535.4802215,0.639493671,1,0
82.63,142.63,79,0.757179487,0.044574842,535.6523734,0.639240506,1,0
83.63,143.63,79,0.756923077,0.04495889,536.8860759,0.64025641,1,0
84.63,144.63,79,0.755384615,0.046841038,536.4476266,0.638987342,1,0
85.63,145.63,79,0.753589744,0.047770132,537.5949367,0.637948718,1,0
86.63,146.63,80,0.752151899,0.048722175,535.8125,0.636708861,1,0
87.63,147.63,80,0.750886076,0.049789173,535.8,0.635696203,1,0
88.63,148.63,80,0.748860759,0.050989881,534.3875,0.634177215,1,0
89.63,149.63,80,0.747848101,0.051549924,533.775,0.633417722,1,0
90.63,150.63,81,0.74675,0.051763283,533.7901235,0.63275,1,0
91.63,151.63,80,0.745063291,0.052816219,534.0875,0.631139241,1,0
92.63,152.63,81,0.742,0.053441557,534.0246914,0.62825,1,0
93.63,153.63,81,0.74,0.054221767,533.9506173,0.62625,1,0
94.63,154.63,81,0.737,0.055776339,533.6467931,0.624197531,1,0
95.63,155.63,82,0.734074074,0.057815752,533.1333936,0.620493827,1,0
96.63,156.63,82,0.732839506,0.059155259,532.304878,0.619259259,1,0
97.63,157.63,82,0.731358025,0.061418481,529.2804878,0.617530864,1,0
98.63,158.63,83,0.728536585,0.06462126,526.7678519,0.614634146,1,0
99.63,159.63,82,0.728641975,0.06531506,524.9756098,0.613902439,1,0
100.63,160.63,82,0.728888889,0.065168348,524.7926829,0.614567901,1,0
101.63,161.63,83,0.727560976,0.065267946,522.4939759,0.613658537,1,0
102.63,162.63,82,0.725925926,0.064898359,519.7098149,0.61,1,0
103.63,163.63,83,0.725853659,0.063743985,523.8460182,0.611707317,1,0
104.63,164.63,83,0.725853659,0.063743985,524.5903614,0.61195122,1,0
105.63,165.63,82,0.725185185,0.063849961,525.0565677,0.61195122,1,0
106.63,166.63,83,0.724146341,0.063225327,525.533206,0.610731707,1,0
107.63,167.63,83,0.722682927,0.062372774,526.4578313,0.609756098,1,0
108.63,168.63,84,0.721204819,0.062274124,525.4876649,0.608915663,1,0
109.63,169.63,83,0.71902439,0.062227156,524.9895295,0.607951807,1,0
