Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label,Label bin
0.075252295,60.075252295,77.0,0.7853584634605263,0.1474071215353659,3525.6331168831166,0.6125388378133331,1,0
1.075252295,61.075252295,77.0,0.7805188203421052,0.1511390506720142,3510.438653451812,0.6092113516842103,1,0
2.075252295,62.075252295,77.0,0.7852679177763158,0.1538582469052711,3536.5064935064934,0.6102703411184208,1,0
3.075252295,63.075252295,76.0,0.78773192412,0.1542114466562801,3537.625939849624,0.6086745178552629,1,0
4.075252295,64.075252295,76.0,0.7898612435066668,0.1538094173129182,3577.2763157894738,0.6151923697999998,1,0
5.075252295,65.075252295,75.0,0.7913560287837839,0.1549411141124738,3590.855964912281,0.6168314276533331,1,0
6.075252295,66.075252295,76.0,0.7925379657333333,0.1536834478129993,3600.200526315789,0.6184395323733332,1,0
7.075252295,67.075252295,76.0,0.7941388416266667,0.1544812141910963,3612.118421052632,0.6205689822799998,1,0
8.075252295,68.075252295,76.0,0.7957386080533333,0.1551571248582148,3618.868421052632,0.6221631061333331,1,0
9.075252295,69.075252295,75.0,0.798233712,0.1562083496726323,3622.2666666666655,0.6244779675675673,1,0
10.075252295,70.075252295,75.0,0.7989206797297297,0.1564983230345829,3627.7066666666665,0.6239329620270269,1,0
11.075252295,71.075252295,75.0,0.7999913691891891,0.1570497192595995,3619.396216216216,0.6239329877027026,1,0
12.075252295,72.075252295,75.0,0.8080955904054055,0.1739979372174953,3615.50954954955,0.6228486406756755,1,0
13.075252295,73.075252295,74.0,0.8071230665753425,0.1754786379553037,3596.513873873874,0.618528876216216,1,0
14.075252295,74.075252295,74.0,0.805355189589041,0.1760979670570098,3622.148648648648,0.6208370199999997,1,0
15.075252295,75.075252295,75.0,0.8048590358108108,0.1749563102001052,3620.693333333333,0.6206755166216213,1,0
16.075252295,76.075252295,74.0,0.8065765426027398,0.1757802429191301,3628.614234234234,0.6223015410810809,1,0
17.075252295,77.075252295,74.0,0.806586474520548,0.1757781902267969,3647.6621621621625,0.6242736116438354,1,0
18.075252295,78.075252295,75.0,0.8075652121621621,0.174301490393981,3652.8551351351352,0.6271968802702699,1,0
19.075252295,79.075252295,74.0,0.8093095935616439,0.1756880421336998,3664.895855855856,0.6300257263513511,1,0
20.075252295,80.075252295,74.0,0.809852404109589,0.1755972482574337,3663.216216216216,0.6308423342465749,1,0
21.075252295,81.075252295,74.0,0.8104208461643837,0.1753699937454204,3672.2567567567567,0.6319606250684927,1,0
22.075252295,82.075252295,73.0,0.810544891388889,0.1765792819179271,3677.236393928175,0.6330390542465749,1,0
23.075252295,83.075252295,74.0,0.8131554387671233,0.1752480288758655,3668.391891891892,0.6320298921621618,1,0
24.075252295,84.075252295,74.0,0.8143757010958904,0.1749063685320522,3693.7567567567567,0.637540122876712,1,0
25.075252295,85.075252295,73.0,0.8161065612500001,0.1754311518458303,3708.214920399852,0.6386267921917806,1,0
26.075252295,86.075252295,73.0,0.8172138763888888,0.1750741821686146,3718.698630136986,0.6408344948611109,1,0
27.075252295,87.075252295,73.0,0.8183258538888888,0.1750244264557621,3724.9880136986303,0.6413958280555554,1,0
28.075252295,88.075252295,72.0,0.8287213252112676,0.1925413759330328,3730.86700913242,0.6408404055555553,1,0
29.075252295,89.075252295,72.0,0.8276031016901407,0.1926490949820581,3723.1388888888887,0.6397221635211265,1,0
30.075252295,90.075252295,73.0,0.8249918155555556,0.1918631767143324,3713.052891933029,0.6369441490277773,1,0
31.075252295,91.075252295,73.0,0.815977325,0.1790133200384754,3716.3109959274334,0.6364363717808216,1,0
32.075252295,92.075252295,73.0,0.8172194229166666,0.1783732601939337,3725.8630136986303,0.638473809583333,1,0
33.075252295,93.075252295,74.0,0.8180828682191782,0.176551918034405,3734.53406145872,0.6401317910958901,1,0
34.075252295,94.075252295,73.0,0.8216659691666667,0.1767380064157444,3749.7260273972606,0.6430469527777776,1,0
35.075252295,95.075252295,73.0,0.8222194744444444,0.1766062839982857,3756.698630136986,0.643604352222222,1,0
36.075252295,96.075252295,73.0,0.8211008111111112,0.1767452714426,3756.972602739726,0.6419206369444442,1,0
37.075252295,97.075252295,73.0,0.8172259165277777,0.1765580772307639,3752.651425398,0.640809641369863,1,0
38.075252295,98.075252295,73.0,0.8087491294444445,0.163999905526716,3752.0601629026287,0.6375280610958904,1,0
39.075252295,99.075252295,74.0,0.8071180402739726,0.1634597308715397,3742.216216216216,0.6364400917808218,1,0
40.075252295,100.075252295,75.0,0.8075561781081081,0.1622625053303085,3742.5816216216217,0.6353925345945947,1,0
41.075252295,101.075252295,74.0,0.8047843505479452,0.1644364953237899,3679.509189189189,0.6294453413513513,1,0
42.075252295,102.075252295,74.0,0.8043873184931508,0.1645812911551537,3670.18,0.6283557429729733,1,0
43.075252295,103.075252295,75.0,0.807019765945946,0.1630527124822647,3663.232072072072,0.6289055851351356,1,0
44.075252295,104.075252295,74.0,0.8071266138356165,0.1642612998135004,3649.8630136986303,0.626559564246576,1,0
45.075252295,105.075252295,75.0,0.8021740404054054,0.1658484879115677,3614.57296803653,0.6199961426027405,1,0
46.075252295,106.075252295,75.0,0.8048754322972974,0.1683452152912667,3604.8458447488574,0.6216294534246583,1,0
47.075252295,107.075252295,75.0,0.8043234575675675,0.1684244622003936,3610.796036036036,0.6205243546575349,1,0
48.075252295,108.075252295,74.0,0.8043862624657535,0.1698333727236723,3607.608108108108,0.6199654652054801,1,0
49.075252295,109.075252295,74.0,0.8060238487671234,0.1696868248904377,3611.890781192151,0.6213467805555564,1,0
50.075252295,110.075252295,75.0,0.8075580083783784,0.1686640713322749,3608.400730593608,0.6215835463013707,1,0
51.075252295,111.075252295,74.0,0.8082188769863013,0.1700134031405779,3603.866901147723,0.6207757750000007,1,0
52.075252295,112.075252295,74.0,0.8098620620547944,0.1701186573206517,3585.0,0.6182828235616447,1,0
53.075252295,113.075252295,74.0,0.8098716180821919,0.1701181295864103,3608.009440947797,0.6213304126388898,1,0
54.075252295,114.075252295,75.0,0.8081006843243242,0.1692168494817387,3611.607671232877,0.6199222709589051,1,0
55.075252295,115.075252295,74.0,0.7993153875342466,0.1473199267589228,3606.5775638652353,0.6188288079452066,1,0
56.075252295,116.075252295,75.0,0.7994594674324325,0.1463263143507325,3569.5733333333337,0.6138456625675687,1,0
57.075252295,117.075252295,75.0,0.8010779301351351,0.1461014712521899,3599.295135135135,0.6182806504109599,1,0
58.075252295,118.075252295,74.0,0.8054763519178082,0.1451996042266841,3590.527027027026,0.6160796615068502,1,0
59.075252295,119.075252295,75.0,0.8075531521621623,0.1430731105720223,3608.099726027397,0.620441043150686,1,0
60.075252295,120.075252295,74.0,0.8136940553424657,0.1388686432067939,3605.7897897897897,0.6223870625000011,1,0
61.075252295,121.075252295,73.0,0.8149881236111112,0.1326128374327222,3637.917808219178,0.6236418966666679,1,0
62.075252295,122.075252295,73.0,0.8177694908333333,0.1343528276930978,3624.2286910197863,0.6232470170422547,1,0
63.075252295,123.075252295,73.0,0.8172179729166668,0.1343437162900513,3612.007229832572,0.620438815352114,1,0
64.075252295,124.075252295,74.0,0.8131519152054794,0.1377973910534109,3579.3581081081084,0.6111219477777792,1,0
65.075252295,125.075252295,73.0,0.8188891670833333,0.1338615870977507,3577.8354261796044,0.6161140211111127,1,0
66.075252295,126.075252295,73.0,0.8143112395833333,0.1356029680276701,3557.2930735095506,0.6118697787142872,1,0
67.075252295,127.075252295,73.0,0.8138769802777779,0.1353124699961298,3533.63438163226,0.6078686902857158,1,0
68.075252295,128.07525229499998,74.0,0.8126052279452057,0.1341767752158846,3523.238294632661,0.6066290646478889,1,0
69.075252295,129.07525229499998,74.0,0.8104206797260275,0.1342034234613139,3502.4363198815254,0.6021178190277795,1,0
70.075252295,130.07525229499998,74.0,0.8093261789041096,0.1336252066748894,3520.505255255255,0.604400818450706,1,0
71.075252295,131.07525229499998,74.0,0.8000004886301371,0.1103037503298809,3520.7039985190668,0.6044709181944464,1,0
72.075252295,132.07525229499998,74.0,0.8010944573972604,0.1095162065282924,3485.6486486486488,0.5998910597222243,1,0
73.075252295,133.07525229499998,75.0,0.8021639036486486,0.111849476245306,3516.1715315315314,0.6020747623287688,1,0
74.075252295,134.07525229499998,74.0,0.8054746346575342,0.1140814970069709,3523.527027027027,0.6020685024657548,1,0
75.075252295,135.07525229499998,74.0,0.8038338273972601,0.1150081326201717,3525.7610144390965,0.5998857443055567,1,0
76.075252295,136.07525229499998,75.0,0.8037751267567567,0.1147127311765382,3530.59196347032,0.598244342602741,1,0
77.075252295,137.07525229499998,75.0,0.8043266472972974,0.1144053967952474,3539.335855855856,0.597686097123289,1,0
78.075252295,138.07525229499998,74.0,0.8015183945205481,0.1150593815183445,3542.507960014809,0.5930642941666682,1,0
79.075252295,139.07525229499998,75.0,0.8021615878378378,0.1148400485578076,3531.862283105023,0.5887789528767138,1,0
80.075252295,140.07525229499998,75.0,0.8010710544594594,0.1156018135997707,3532.2144292237444,0.5871106371232891,1,0
81.075252295,141.07525229499998,75.0,0.8043368159459459,0.1191445057116706,3544.556576576577,0.5869808497260287,1,0
82.075252295,142.07525229499998,75.0,0.7972868075675674,0.1232224424123848,3522.503243243244,0.5785071347297311,1,0
83.075252295,143.07525229499998,75.0,0.8010936655405405,0.121269733519111,3526.0714155251144,0.5764421972602752,1,0
84.075252295,144.07525229499998,75.0,0.8016316787837838,0.1211743797585082,3520.389009009009,0.5753461305479466,1,0
