Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label,Label bin
0.072195292,60.072195292,103.0,0.5820569758431372,0.0637644253932024,1974.806011949216,0.4678806333592232,1,0
1.072195292,61.072195292,103.0,0.5816694567941176,0.0637723352228173,1989.9706870799105,0.467881512883495,1,0
2.072195292,62.072195292,103.0,0.5813655806078432,0.0637969225587284,1999.1974421209857,0.4674081733749998,1,0
3.072195292,63.072195292,103.0,0.5808862237352941,0.0637692348478822,2010.108849887976,0.4668939807766989,1,0
4.072195292,64.072195292,103.0,0.5804832729509803,0.0637774599766386,2024.2511202389844,0.4668901127864076,1,0
5.072195292,65.072195292,103.0,0.5796989179607843,0.0633464667219316,2031.5982431807677,0.4670051679134613,1,0
6.072195292,66.072195292,104.0,0.5791192448058253,0.0633091891775495,2040.2535714285716,0.4674097321153846,1,0
7.072195292,67.072195292,104.0,0.5791283648834951,0.0632464997395523,2052.498901098901,0.4674175814903846,1,0
8.072195292,68.072195292,103.0,0.5793160995294118,0.0635272104714741,2063.367718446602,0.468070027699029,1,0
9.072195292,69.072195292,103.0,0.5801058002647059,0.0638419527584395,2073.421544151641,0.4694498178557691,1,0
10.072195292,70.072195292,104.0,0.5806737478640777,0.0635577494268994,2077.471153846154,0.4701310966346153,1,0
11.072195292,71.072195292,103.0,0.5816668505882353,0.0640736942440771,2082.8687453323373,0.4712093730097087,1,0
12.072195292,72.072195292,103.0,0.5824472998039215,0.0644109655763483,2084.59428678118,0.4723729945631068,1,0
13.072195292,73.072195292,102.0,0.5830768099009901,0.0646732476214222,2090.4072910717687,0.4730890425490196,1,0
14.072195292,74.072195292,102.0,0.5838553363366337,0.0648741721939526,2087.99358974359,0.4738445650485438,1,0
15.072195292,75.072195292,103.0,0.584806858235294,0.0642801276389715,2089.9125280059748,0.4746272237864079,1,0
16.072195292,76.072195292,102.0,0.5858464572277228,0.0642313855645456,2095.677232057872,0.4757531576470588,1,0
17.072195292,77.072195292,102.0,0.587423234950495,0.0636963600620046,2096.2846944603084,0.4776178410784314,1,0
18.072195292,78.072195292,102.0,0.5882157146534653,0.0635991595526492,2099.7982105463543,0.4780023284313725,1,0
19.072195292,79.072195292,101.0,0.5896978927000001,0.0638092940707961,2100.9804892253933,0.4786879686138615,1,0
20.072195292,80.072195292,101.0,0.5912969136,0.0643020137823482,2098.938575410939,0.4802763181372551,1,0
21.072195292,81.072195292,101.0,0.5917981744,0.0645585013343619,2095.5440691127937,0.4811637756435645,1,0
22.072195292,82.072195292,101.0,0.5929080342999999,0.0646196955277872,2094.2499514657347,0.4823592015841585,1,0
23.072195292,83.072195292,101.0,0.5938000965,0.0647129337252009,2093.425742574257,0.4833453526732674,1,0
24.072195292,84.072195292,101.0,0.5933015466,0.0647771324473598,2089.184041933605,0.482954587029703,1,0
25.072195292,85.072195292,101.0,0.5941036916,0.0646073933155931,2089.351679285576,0.4833624126732673,1,0
26.072195292,86.072195292,101.0,0.5945003844,0.0645208941336912,2086.865948359542,0.4841457995049504,1,0
27.072195292,87.072195292,100.0,0.5952552496969696,0.0644038451096444,2087.9845098039214,0.4841550482178215,1,0
28.072195292,88.072195292,101.0,0.5957972765,0.0643112812019956,2094.343816734615,0.4857422573267326,1,0
29.072195292,89.072195292,101.0,0.5969017315,0.0643023173546964,2099.09900990099,0.4864381186138614,1,0
30.072195292,90.072195292,100.0,0.5981814307070707,0.0646139589701059,2099.340396039604,0.4877950288000001,1,0
31.072195292,91.072195292,100.0,0.5992954595959595,0.0645728144519728,2101.141881188119,0.4893967128000001,1,0
32.072195292,92.072195292,99.0,0.5997028253061225,0.0647785521573555,2100.5690569056906,0.4898070788000001,1,0
33.072195292,93.072195292,100.0,0.6001030074747474,0.0646317225627691,2096.6257425742574,0.4906047201000001,1,0
