Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
4/18/2025 13:45,127251,130,4.559416056,1
4/18/2025 13:45,127337,203,4.599552393,1
4/18/2025 13:45,127382,232,4.639607668,1
4/18/2025 13:45,127403,238,4.679732323,1
4/18/2025 13:45,127449,266,4.719386816,1
4/18/2025 13:45,127454,254,4.76001811,1
4/18/2025 13:45,127045,-145,4.799758673,1
4/18/2025 13:45,126353,-785,4.840122223,1
4/18/2025 13:45,126448,-647,4.880021811,1
4/18/2025 13:45,126833,-245,4.92022872,1
4/18/2025 13:45,127069,-9,4.959727526,1
4/18/2025 13:45,127175,91,4.999786139,1
4/18/2025 13:45,127211,119,5.039630175,1
4/18/2025 13:45,127227,127,5.079655647,1
4/18/2025 13:45,127241,132,5.119909763,1
4/18/2025 13:45,127293,173,5.159820795,1
4/18/2025 13:45,127352,217,5.1999259,1
4/18/2025 13:45,127421,268,5.239511013,1
4/18/2025 13:45,127465,293,5.279898643,1
4/18/2025 13:45,127477,286,5.319525719,1
4/18/2025 13:45,127493,283,5.360225677,1
4/18/2025 13:45,127121,-83,5.399544001,1
4/18/2025 13:45,126206,-936,5.449534893,1
4/18/2025 13:45,126083,-993,5.480026722,1
4/18/2025 13:45,126531,-511,5.520024538,1
4/18/2025 13:45,126914,-120,5.569829464,1
4/18/2025 13:45,127114,75,5.609422922,1
4/18/2025 13:45,127167,120,5.649384022,1
4/18/2025 13:45,127150,97,5.680231571,1
4/18/2025 13:45,127164,104,5.825064182,1
4/18/2025 13:45,127247,175,5.82523632,1
4/18/2025 13:45,127311,224,5.825359106,1
4/18/2025 13:45,127371,267,5.840018511,1
4/18/2025 13:45,127434,309,5.889521599,1
4/18/2025 13:45,127501,353,5.930287123,1
4/18/2025 13:45,127515,344,5.970226526,1
4/18/2025 13:45,127507,315,6.010050058,1
4/18/2025 13:45,127134,-55,6.050445318,1
4/18/2025 13:45,126420,-720,6.089439392,1
4/18/2025 13:45,126478,-621,6.130331755,1
4/18/2025 13:45,126826,-256,6.170256615,1
4/18/2025 13:45,127024,-54,6.204314709,1
4/18/2025 13:45,127183,98,6.250253201,1
4/18/2025 13:45,127243,148,6.290267229,1
4/18/2025 13:45,127225,122,6.329740286,1
4/18/2025 13:45,127249,137,6.370211601,1
4/18/2025 13:45,127352,225,6.41045475,1
4/18/2025 13:45,127408,264,6.450306177,1
4/18/2025 13:45,127442,279,6.48525238,1
4/18/2025 13:45,127537,351,6.530166388,1
4/18/2025 13:45,127569,359,6.569438219,1
4/18/2025 13:45,127595,361,6.610407352,1
4/18/2025 13:45,127611,353,6.649577141,1
4/18/2025 13:45,127211,-44,6.689555168,1
4/18/2025 13:45,126187,-1001,6.726109028,1
4/18/2025 13:45,126058,-1059,6.77093339,1
4/18/2025 13:45,126525,-555,6.809599876,1
4/18/2025 13:45,126905,-164,6.849410534,1
4/18/2025 13:45,127136,63,6.889438868,1
4/18/2025 13:45,127176,96,6.929548264,1
4/18/2025 13:45,127134,51,6.970156908,1
4/18/2025 13:45,127167,79,7.009801626,1
4/18/2025 13:45,127244,146,7.049931765,1
4/18/2025 13:45,127330,217,7.089807034,1
