Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
2025-05-12 00:46:40,130200,77,0.075451374053955,1
2025-05-12 00:46:40,130207,79,0.0756978988647461,1
2025-05-12 00:46:40,130234,99,0.0758414268493652,1
2025-05-12 00:46:41,130274,131,0.1103372573852539,1
2025-05-12 00:46:41,130280,128,0.1496975421905517,1
2025-05-12 00:46:41,130286,126,0.1904292106628418,1
2025-05-12 00:46:41,130304,135,0.2298564910888672,1
2025-05-12 00:46:41,130309,131,0.2696244716644287,1
2025-05-12 00:46:41,130298,113,0.3103475570678711,1
2025-05-12 00:46:41,130242,53,0.3497688770294189,1
2025-05-12 00:46:41,129644,-511,0.3897812366485595,1
2025-05-12 00:46:41,129244,-854,0.4296894073486328,1
2025-05-12 00:46:41,129473,-586,0.4702146053314209,1
2025-05-12 00:46:41,129767,-273,0.5102541446685791,1
2025-05-12 00:46:41,129955,-80,0.549407958984375,1
2025-05-12 00:46:41,130108,68,0.5894834995269775,1
2025-05-12 00:46:41,130145,99,0.6303398609161377,1
2025-05-12 00:46:41,130139,87,0.66959547996521,1
2025-05-12 00:46:41,130144,86,0.7101948261260986,1
2025-05-12 00:46:41,130181,116,0.750450849533081,1
2025-05-12 00:46:41,130218,143,0.7898538112640381,1
2025-05-12 00:46:41,130242,157,0.8294422626495361,1
2025-05-12 00:46:41,130237,142,0.8694663047790527,1
2025-05-12 00:46:41,130260,155,0.909475564956665,1
2025-05-12 00:46:41,130290,173,0.9497466087341307,1
2025-05-12 00:46:41,130299,171,0.9895319938659668,1
2025-05-12 00:46:41,130294,156,1.02959942817688,1
2025-05-12 00:46:41,130323,173,1.0695796012878418,1
2025-05-12 00:46:42,129831,-299,1.110257625579834,1
2025-05-12 00:46:42,129115,-951,1.1501498222351074,1
2025-05-12 00:46:42,129167,-843,1.190474271774292,1
2025-05-12 00:46:42,129575,-408,1.325752019882202,1
2025-05-12 00:46:42,129865,-110,1.325958251953125,1
2025-05-12 00:46:42,130019,41,1.3260915279388428,1
2025-05-12 00:46:42,130065,81,1.349860429763794,1
2025-05-12 00:46:42,130077,88,1.3894002437591553,1
2025-05-12 00:46:42,130085,90,1.429591417312622,1
2025-05-12 00:46:42,130122,119,1.470290184020996,1
2025-05-12 00:46:42,130157,144,1.5095930099487305,1
2025-05-12 00:46:42,130179,156,1.5503909587860107,1
2025-05-12 00:46:42,130227,191,1.5902349948883057,1
2025-05-12 00:46:42,130236,188,1.6295108795166016,1
2025-05-12 00:46:42,130224,165,1.6704788208007812,1
2025-05-12 00:46:42,130240,169,1.7102611064910889,1
2025-05-12 00:46:42,130249,167,1.7503764629364014,1
2025-05-12 00:46:42,130254,162,1.7897109985351562,1
2025-05-12 00:46:42,129871,-208,1.829429149627685,1
2025-05-12 00:46:42,129078,-938,1.8704290390014648,1
2025-05-12 00:46:42,129086,-872,1.9104118347167969,1
2025-05-12 00:46:42,129534,-397,1.950395584106445,1
2025-05-12 00:46:42,129811,-113,1.989774703979492,1
2025-05-12 00:46:42,129970,43,2.032646894454956,1
2025-05-12 00:46:42,130074,138,2.0703108310699463,1
2025-05-12 00:46:43,130089,144,2.1102726459503174,1
2025-05-12 00:46:43,130066,113,2.150318145751953,1
2025-05-12 00:46:43,130089,128,2.1894094944000244,1
2025-05-12 00:46:43,130155,182,2.229498147964477,1
2025-05-12 00:46:43,130195,208,2.269975185394287,1
2025-05-12 00:46:43,130231,229,2.312138319015503,1
2025-05-12 00:46:43,130230,213,2.3495781421661377,1
2025-05-12 00:46:43,130222,193,2.389458179473877,1
2025-05-12 00:46:43,130257,213,2.4294471740722656,1
2025-05-12 00:46:43,130284,225,2.4803311824798584,1
2025-05-12 00:46:43,130144,80,2.5204062461853027,1
2025-05-12 00:46:43,129228,-784,2.560242891311645,1
2025-05-12 00:46:43,128778,-1157,2.6013545989990234,1
2025-05-12 00:46:43,129102,-780,2.643514394760132,1
2025-05-12 00:46:43,129532,-329,2.6803767681121826,1
2025-05-12 00:46:43,129792,-64,2.7203943729400635,1
2025-05-12 00:46:43,129943,81,2.7601428031921387,1
2025-05-12 00:46:43,130003,133,2.7994871139526367,1
2025-05-12 00:46:43,129994,116,2.8299343585968018,1
2025-05-12 00:46:43,130012,126,2.8803257942199707,1
2025-05-12 00:46:43,130063,166,2.919517040252685,1
2025-05-12 00:46:43,130150,237,2.960324048995972,1
2025-05-12 00:46:43,130173,244,2.999419450759888,1
2025-05-12 00:46:43,130191,245,3.039506435394287,1
2025-05-12 00:46:43,130234,270,3.0794146060943604,1
2025-05-12 00:46:44,130256,274,3.119679927825928,1
2025-05-12 00:46:44,130264,264,3.1593573093414307,1
