Time (real),IR Value raw,IR Value filtered,Time (s)
2025-06-19 22:57:58,102382,211,2.027799606323242
2025-06-19 22:57:58,102405,219,2.0479841232299805
2025-06-19 22:57:58,102419,219,2.06748104095459
2025-06-19 22:57:58,102364,154,2.0880794525146484
2025-06-19 22:57:58,102201,-9,2.1077253818511963
2025-06-19 22:57:58,101966,-228,2.127890110015869
2025-06-19 22:57:58,101774,-394,2.1474437713623047
2025-06-19 22:57:59,101668,-469,2.1672523021698
2025-06-19 22:57:59,101668,-440,2.1874895095825195
2025-06-19 22:57:59,101726,-358,2.207324743270874
2025-06-19 22:57:59,101801,-265,2.2270102500915527
2025-06-19 22:57:59,101851,-201,2.247551918029785
2025-06-19 22:57:59,101901,-142,2.268089771270752
2025-06-19 22:57:59,101955,-82,2.2872982025146484
2025-06-19 22:57:59,101996,-39,2.3079681396484375
2025-06-19 22:57:59,102013,-20,2.327308177947998
2025-06-19 22:57:59,102004,-28,2.3473079204559326
2025-06-19 22:57:59,101994,-35,2.3675315380096436
2025-06-19 22:57:59,101984,-42,2.38683819770813
2025-06-19 22:57:59,101993,-31,2.4093573093414307
2025-06-19 22:57:59,102009,-14,2.430110454559326
2025-06-19 22:57:59,102040,16,2.4489691257476807
2025-06-19 22:57:59,102074,47,2.46952748298645
2025-06-19 22:57:59,102118,85,2.488664388656616
2025-06-19 22:57:59,102151,111,2.508678674697876
2025-06-19 22:57:59,102184,135,2.5294978618621826
2025-06-19 22:57:59,102205,146,2.549497365951538
2025-06-19 22:57:59,102231,161,2.5686771869659424
2025-06-19 22:57:59,102254,173,2.58941650390625
2025-06-19 22:57:59,102280,186,2.6091196537017822
2025-06-19 22:57:59,102300,194,2.628600835800171
2025-06-19 22:57:59,102326,206,2.6491260528564453
2025-06-19 22:57:59,102342,208,2.66863751411438
2025-06-19 22:57:59,102335,189,2.688638925552368
2025-06-19 22:57:59,102245,92,2.7093729972839355
2025-06-19 22:57:59,102039,-106,2.728736162185669
2025-06-19 22:57:59,101810,-314,2.7487406730651855
2025-06-19 22:57:59,101648,-447,2.7693896293640137
2025-06-19 22:57:59,101600,-464,2.7889206409454346
2025-06-19 22:57:59,101645,-393,2.808931827545166
2025-06-19 22:57:59,101716,-301,2.828958511352539
2025-06-19 22:57:59,101781,-222,2.848956346511841
2025-06-19 22:57:59,101843,-150,2.8700923919677734
2025-06-19 22:57:59,101881,-105,2.888920307159424
2025-06-19 22:57:59,101940,-43,2.908914089202881
2025-06-19 22:57:59,101974,-8,2.9288642406463623
2025-06-19 22:57:59,101968,-13,2.950063943862915
2025-06-19 22:57:59,101951,-28,2.9691646099090576
2025-06-19 22:57:59,101942,-35,2.989184856414795
2025-06-19 22:57:59,101939,-36,3.0094666481018066
2025-06-19 22:57:59,101956,-17,3.0288805961608887
2025-06-19 22:57:59,101981,7,3.0489118099212646
2025-06-19 22:57:59,102019,42,3.068927049636841
2025-06-19 22:57:59,102054,73,3.089484930038452
2025-06-19 22:57:59,102083,95,3.109231472015381
2025-06-19 22:57:59,102121,125,3.1292757987976074
2025-06-19 22:57:59,102150,144,3.1492674350738525
2025-06-19 22:58:00,102167,151,3.1694765090942383
2025-06-19 22:58:00,102188,162,3.1886484622955322
2025-06-19 22:58:00,102215,177,3.2086994647979736
2025-06-19 22:58:00,102233,183,3.2289469242095947
2025-06-19 22:58:00,102256,193,3.2514798641204834
2025-06-19 22:58:00,102273,197,3.2720119953155518
2025-06-19 22:58:00,102297,207,3.291191816329956
2025-06-19 22:58:00,102308,204,3.3115084171295166
2025-06-19 22:58:00,102271,157,3.3310294151306152
2025-06-19 22:58:00,102125,10,3.351597547531128
2025-06-19 22:58:00,101884,-216,3.3720691204071045
2025-06-19 22:58:00,101660,-413,3.3918745517730713
2025-06-19 22:58:00,101526,-512,3.4120287895202637
2025-06-19 22:58:00,101517,-489,3.431257724761963
2025-06-19 22:58:00,101575,-404,3.4519107341766357
2025-06-19 22:58:00,101652,-306,3.471944808959961
2025-06-19 22:58:00,101710,-233,3.4909424781799316
2025-06-19 22:58:00,101758,-173,3.5115060806274414
2025-06-19 22:58:00,101803,-120,3.5315685272216797
2025-06-19 22:58:00,101850,-69,3.5515942573547363
2025-06-19 22:58:00,101871,-45,3.5719411373138428
2025-06-19 22:58:00,101862,-50,3.5913140773773193
2025-06-19 22:58:00,101851,-57,3.6114604473114014
2025-06-19 22:58:00,101848,-57,3.631990432739258
2025-06-19 22:58:00,101853,-48,3.6509928703308105
2025-06-19 22:58:00,101880,-20,3.671349048614502
2025-06-19 22:58:00,101909,9,3.691356658935547
2025-06-19 22:58:00,101943,40,3.710874319076538
2025-06-19 22:58:00,101982,74,3.7315430641174316
2025-06-19 22:58:00,102017,102,3.7520954608917236
2025-06-19 22:58:00,102052,129,3.7712554931640625
2025-06-19 22:58:00,102078,145,3.7915830612182617
2025-06-19 22:58:00,102103,159,3.8112130165100098
2025-06-19 22:58:00,102133,178,3.831387758255005
